NodeIdentifier, Zone, PickupType, PickupDetails, UberGroupName, UberGroup, UberIdName, UberId, UberStateValue, X, Y, MapX, MapY
MarshSpawn.FangQI, Marsh, Quest, Fang, questUberStateGroup, 14019, braveMokiItemCollected, 27539, , -221.9, -4406.5, -221.93663, -4406.473
MarshSpawn.MokkFangQuest, Marsh, Quest, Ore, questUberStateGroup, 14019, braveMokiQuest, 15983, 3, -391, -4414, -388.5, -4412.6
MarshSpawn.DamageTree, Marsh, Ability, AncestralLight, trees, 0, AncestralLight, 121, , -840, -4488, -840.43994, -4484.155
MarshSpawn.PoolsPathEX, Marsh, SpiritLight, 200, swampStateGroup, 21786, largeExpA, 21727, , -1014.5, -4268.0, -1014.5, -4268
MidnightBurrows.LeftKS, Burrows, Resource, Keystone, howlsOriginGroup, 24922, keystoneA, 60358, , -799.5, -4579.5, -799.54, -4579.5
MidnightBurrows.RightKS, Burrows, Resource, Keystone, howlsOriginGroup, 24922, keystoneA, 47244, , -597.4, -4548.3, -597.37006, -4548.3047
MidnightBurrows.UpperKS, Burrows, Resource, Keystone, howlsOriginGroup, 24922, keystoneA, 34250, , -725.2, -4520.3, -725.24506, -4520.34
MidnightBurrows.LowerKS, Burrows, Resource, Keystone, howlsOriginGroup, 24922, keystoneB, 33535, , -703.8, -4607.2, -703.79, -4607.195
MidnightBurrows.LupoMap, Burrows, Shop, LupoZoneMap, npcsStateGroup, 48248, hasMapHowlsOrigin, 45538, , -870, -4555, -870, -4555
MidnightBurrows.DeflectorShard, Burrows, Shard, Deflector, howlsOriginGroup, 24922, spiritShard, 46311, , -773.6, -4527.5, -773.63, -4526.525
MidnightBurrows.TabletQI, Burrows, Quest, Tablet, questUberStateGroup, 14019, howlsOriginTreasureCollected, 52747, , -848.7, -4529.1, -848.74, -4529.09
HowlsDen.RightHC, Marsh, Resource, Life, swampStateGroup, 21786, halfHealthCellA, 28908, , -332.3, -4438.6, -332.26, -4437.58
HowlsDen.LeftHC, Marsh, Resource, Life, inkwaterMarshStateGroup, 9593, healthContainer, 61304, , -569.7, -4454.1, -569.7299, -4453.08
HowlsDen.AboveDoorKS, Marsh, Resource, Keystone, swampStateGroup, 21786, keyStone, 22068, , -439.5, -4461.4, -439.52002, -4461.38
HowlsDen.MagnetShard, Marsh, Shard, Magnet, swampStateGroup, 21786, spiritShardA, 63545, , -239.2, -4440.4, -239.20001, -4439.38
HowlsDen.SwordTree, Marsh, Ability, SpiritEdge, trees, 0, SpiritEdge, 100, , -296, -4483, -296, -4478
HowlsDen.BoneOre, Marsh, Resource, Ore, swampStateGroup, 21786, gorlekOreA, 2046, , -432.6, -4503.3, -432.58002, -4503.26
HowlsDen.AboveTPEX, Marsh, SpiritLight, 50, swampStateGroup, 21786, xpOrbC, 16206, , -388.6, -4502.7, -388.58002, -4502.74
HowlsDen.LaserKS, Marsh, Resource, Keystone, swampStateGroup, 21786, laserPuzzleSolved, 2852, , -399.9, -4567.2, -399.94, -4567.21
HowlsDen.CombatShrine, Marsh, Resource, ShardSlot, howlsOriginGroup, 24922, shrineArena, 13993, , -328.1, -4565.5, -328.07, -4564.52
HowlsDen.DoubleJumpEX, Marsh, SpiritLight, 50, inkwaterMarshStateGroup, 9593, expOrb, 17818, , -507.9, -4536.6, -507.89798, -4536.5684
HowlsDen.StickyShard, Marsh, Shard, Sticky, pickupsGroup, 23987, glueShardPickup, 27134, , -547.8, -4529.3, -547.82, -4528.2896
HowlsDen.DoubleJumpTree, Marsh, Ability, DoubleJump, trees, 0, DoubleJump, 5, , -555, -4551, -555.25, -4546.7656
MarshPastOpher.TrialLeftEX, Marsh, SpiritLight, 100, inkwaterMarshStateGroup, 9593, expOrbA, 5253, , -527.9, -4354.1, -527.93005, -4354.1196
MarshPastOpher.TrialOre, Marsh, Resource, Ore, inkwaterMarshStateGroup, 9593, gorlekOreA, 25989, , -501.5, -4340.0, -501.49002, -4340.0293
MarshPastOpher.TrialEC, Marsh, Resource, Energy, inkwaterMarshStateGroup, 9593, halfEnergyCellA, 27562, , -473.8, -4339.6, -473.83002, -4338.5796
MarshPastOpher.TrialHC, Marsh, Resource, Life, swampStateGroup, 21786, lifeCellA, 20194, , -437.7, -4380.8, -437.67, -4379.8403
MarshPastOpher.TrialRightEX, Marsh, SpiritLight, 100, swampStateGroup, 21786, largeExpA, 10413, , -344.1, -4356.9, -344.07, -4356.92
MarshPastOpher.SpiritTrial, Marsh, SpiritLight, 1000, raceGroup, 44964, inkwaterMarshRace, 45951, 2, -614, -4319, -423.68, -4306.3604
MarshPastOpher.CombatShrine, Marsh, Resource, ShardSlot, swampStateGroup, 21786, enemyRoom, 18109, , -382.6, -4338.3, -382.63397, -4337.3223
MarshPastOpher.SwingPoleEX, Marsh, SpiritLight, 50, inkwaterMarshStateGroup, 9593, expOrb, 59344, , -492.7, -4261.3, -492.66, -4261.27
MarshPastOpher.LeftEyestone, Marsh, Resource, Eyestone, swampStateGroup, 21786, keyStoneA, 27433, , -461.3, -4195.3, -461.27002, -4195.29
MarshPastOpher.RightEyestone, Marsh, Resource, Eyestone, swampStateGroup, 21786, keyStoneB, 37225, , -394.0, -4188.3, -393.96918, -4188.325
MarshPastOpher.BowEC, Marsh, Resource, Energy, swampStateGroup, 21786, energyHalfCellA, 10295, , -421.5, -4272.4, -421.49, -4271.3896
MarshPastOpher.BowTree, Marsh, Ability, SpiritArc, trees, 0, SpiritArc, 97, , -457, -4267, -457.04626, -4261.291
MarshPastOpher.CeilingEX, Marsh, SpiritLight, 100, swampStateGroup, 21786, mediumExpA, 50255, , -641.3, -4223.0, -641.2577, -4223.0117
MarshPastOpher.PoolsPathEC, Marsh, Resource, Energy, inkwaterMarshStateGroup, 9593, energyContainer, 26457, , -662.8, -4186.5, -662.76996, -4185.5103
MarshPastOpher.PoolsPathEX, Marsh, SpiritLight, 200, lagoonStateGroup, 945, largeExpC, 10833, , -802.3, -4186.1, -802.3163, -4186.148
WestHollow.CrusherHC, Hollow, Resource, Life, kwolokGroupDescriptor, 937, healthHalfCell, 61897, , -254.6, -4224.1, -254.58763, -4223.121
WestHollow.FarLeftEX, Hollow, SpiritLight, 50, kwolokGroupDescriptor, 937, smallExpOrbPlaceholder, 16163, , -357.7, -4294.4, -357.67212, -4294.3525
WestHollow.RockPuzzleEX, Hollow, SpiritLight, 50, kwolokGroupDescriptor, 937, smallExpOrbPlaceholder, 2538, , -296.9, -4292.9, -296.9477, -4292.9487
WestHollow.HiddenEC, Hollow, Resource, Energy, kwolokGroupDescriptor, 937, energyHalfContainer, 8518, , -238.4, -4301.5, -238.39, -4300.48
WestHollow.QuickshotShard, Hollow, Shard, Quickshot, pickupsGroup, 23987, frenzyShardPickup, 61017, , -311.2, -4325.5, -311.181, -4324.4873
WestHollow.SwimEC, Hollow, Resource, Energy, kwolokGroupDescriptor, 937, energyHalfContainer, 24175, , -177.8, -4354.2, -177.8136, -4353.2246
WestHollow.LupoMap, Hollow, Shop, LupoZoneMap, npcsStateGroup, 48248, hasMapKwoloksHollow, 3638, , -146, -4321, -146, -4321
WestHollow.TrialHC, Hollow, Resource, Life, kwolokGroupDescriptor, 937, halfHealthCell, 2463, , -122.0, -4268.2, -121.979996, -4267.23
WestHollow.SpiritTrial, Hollow, SpiritLight, 1000, raceGroup, 44964, kwolokDropRace, 25545, 2, -115, -4259, -175.43, -4440.89
WestHollow.BelowLupoEX, Hollow, SpiritLight, 50, kwolokGroupDescriptor, 937, smallExpOrbPlaceholderA, 48192, , -82.3, -4369.6, -82.32001, -4369.565
WestHollow.AboveDashEX, Hollow, SpiritLight, 50, kwolokGroupDescriptor, 937, smallExpOrbPlaceholderC, 61744, , -100.0, -4407.2, -99.98999, -4407.225
WestHollow.DashRightEX, Hollow, SpiritLight, 50, kwolokGroupDescriptor, 937, smallExpOrbPlaceholder, 37926, , 11.6, -4401.1, 11.600098, -4401.12
WestHollow.CrusherEX, Hollow, SpiritLight, 200, kwolokGroupDescriptor, 937, xpOrbA, 50176, , -37.5, -4452.6, -37.47986, -4452.6426
WestHollow.DashTree, Hollow, Ability, Dash, trees, 0, Dash, 102, , -69, -4453, -69.149994, -4448.132
EastHollow.HandToHandMap, Hollow, Quest, Map, questUberStateGroup, 14019, tradeSequenceQuest, 26318, 1, -110, -4220, -112.2, -4218.3
EastHollow.GladesApproachOre, Hollow, Resource, Ore, kwolokGroupDescriptor, 937, gromOreA, 10729, , -97.6, -4190.1, -97.55, -4190.1
EastHollow.HornBeetleFightEX, Hollow, SpiritLight, 50, kwolokGroupDescriptor, 937, xpOrbA, 13413, , -86.0, -4210.3, -86.03, -4210.3
EastHollow.SpikeLanternEX, Hollow, SpiritLight, 50, kwolokGroupDescriptor, 937, xpOrbB, 5568, , -55.3, -4200.8, -55.270004, -4200.82
EastHollow.SecretRoofEX, Hollow, SpiritLight, 100, kwolokGroupDescriptor, 937, mediumExpA, 45987, , 8.9, -4197.7, 8.927444, -4197.656
EastHollow.MortarEX, Hollow, SpiritLight, 100, kwolokGroupDescriptor, 937, mediumExpC, 19529, , 57.5, -4189.3, 57.47223, -4189.3438
EastHollow.BashEC, Hollow, Resource, Energy, kwolokGroupDescriptor, 937, energyHalfCell, 23772, , 46.8, -4236.6, 46.772675, -4235.625
EastHollow.BashHC, Hollow, Resource, Life, bashIntroductionA__clone1Group, 13428, healthContainerA, 59730, , 84.0, -4263.0, 84.0289, -4262.0195
EastHollow.BashEX, Hollow, SpiritLight, 100, kwolokGroupDescriptor, 937, mediumExpB, 30182, , -31.4, -4302.3, -31.656738, -4301.913
EastHollow.BashTree, Hollow, Ability, Bash, trees, 0, Bash, 0, , -20, -4326, -20.328445, -4319.618
EastHollow.KwolokAmuletQuest, Hollow, Quest, SL500, questUberStateGroup, 14019, kwoloksWisdomQuest, 50597, 4, 240, -4207, 240.1, -4207.5
EastHollow.RightKwolokEX, Hollow, SpiritLight, 100, _petrifiedForestGroup, 58674, expOrbA, 20983, , 289.0, -4195.7, 289.0374, -4195.708
EastHollow.SilentSwimEC, Hollow, Resource, Energy, _petrifiedForestGroup, 58674, energyContainerA, 9583, , 331.9, -4191.3, 331.87, -4190.344
EastHollow.SplinterShard, Hollow, Shard, Splinter, pickupsGroup, 23987, splinterShardPickup, 62973, , 216.2, -4307.3, 216.17882, -4306.3125
EastHollow.ForestsVoice, Hollow, Wisp, Voice, kwoloksCavernThroneRoomGroup, 46462, wispRewardPickup, 59806, , 191, -4212, 191, -4212
EastHollow.KwolokSwimOre, Hollow, Resource, Ore, kwoloksCavernThroneRoomGroup, 46462, gorlekOreA, 37897, , 243.4, -4223.5, 243.44835, -4223.517
EastHollow.KwolokSwimLeftEX, Hollow, SpiritLight, 200, kwoloksCavernThroneRoomGroup, 46462, largeExpA, 29054, , 113.0, -4228.5, 113, -4228.5
EastHollow.KwolokSwimRightEX, Hollow, SpiritLight, 50, kwoloksCavernThroneRoomGroup, 46462, smallExpA, 20780, , 161.5, -4244.8, 161.49835, -4244.7866
EastHollow.DepthsExteriorEX, Hollow, SpiritLight, 100, mouldwoodDepthsGroup, 18793, mediumExpB, 42980, , 130.9, -4272.0, 130.83775, -4271.6465
GladesTown.HandToHandPouch, Glades, Quest, Pouch, questUberStateGroup, 14019, tradeSequenceQuest, 26318, 2, -282, -4155, -285.9, -4153.8
GladesTown.HandToHandLantern, Glades, Quest, Lantern, questUberStateGroup, 14019, tradeSequenceQuest, 26318, 6, -426, -4155, -428.7, -4153.2
GladesTown.HandToHandCanteen, Glades, Quest, Canteen, questUberStateGroup, 14019, tradeSequenceQuest, 26318, 9, -410, -4142, -403.2, -4142
GladesTown.FamilyReunionKey, Glades, Quest, Key, randoState, 6, canOpenMokiFatherHut, 500, , -385, -4161, -382, -4155.3
GladesTown.AcornQI, Glades, Quest, Acorn, questUberStateGroup, 14019, darkCaveQuestItemCollected, 2782, , -10.5, -4549.7, -366, -4183.6
GladesTown.MokiAcornQuest, Glades, Quest, SL500, questUberStateGroup, 14019, darkCaveQuest, 33776, 3, -358, -4185, -360.1, -4183.6
GladesTown.HoleHutEC, Glades, Resource, Energy, hubUberStateGroup, 42178, energyCellA, 52786, , -116.0, -4538.5, -227.72, -4092.33
GladesTown.AboveGromHC, Glades, Resource, Life, wellspringGladesGroup, 44310, lifeVesselA, 29043, , -326.3, -4102.1, -326.30994, -4101.12
GladesTown.LupoSwimHC, Glades, Resource, Life, wellspringGladesGroup, 44310, lifeVesselB, 17523, , -160.4, -4192.2, -160.3623, -4191.1562
GladesTown.UpperOre, Glades, Resource, Ore, hubUberStateGroup, 42178, gorlekOreB, 27110, , -418.4, -4103.5, -418.39633, -4103.5366
GladesTown.LowerOre, Glades, Resource, Ore, hubUberStateGroup, 42178, gorlekOreA, 23125, , -415.7, -4173.6, -415.66016, -4173.553
GladesTown.ArcingShard, Glades, Shard, Arcing, pickupsGroup, 23987, chainLightningPickup, 23015, , -324.4, -4134.1, -324.43, -4133.08
GladesTown.BountyShard, Glades, Shard, Bounty, pickupsGroup, 23987, focusShardPickup, 14014, , -247.3, -4105.0, -247.53546, -4103.873
GladesTown.LupoSoupEX, Glades, SpiritLight, 100, hubUberStateGroup, 42178, hutAExpOrb, 51468, , -160.8, -4521.3, -212.3, -4162
GladesTown.BraveMokiHutEX, Glades, SpiritLight, 100, hubUberStateGroup, 42178, hutBExpOrb, 13327, , -176.7, -4541.0, -326.2, -4118.47
GladesTown.MotayHutEX, Glades, SpiritLight, 100, hubUberStateGroup, 42178, hutCExpOrb, 57455, , -172.7, -4583.2, -392.8, -4130.6
GladesTown.HoleHutEX, Glades, SpiritLight, 100, hubUberStateGroup, 42178, hutDExpOrbB, 30520, , -118.5, -4520.3, -227.72, -4090.33
GladesTown.UpperLeftEX, Glades, SpiritLight, 100, hubUberStateGroup, 42178, mediumExpB, 59623, , -373.8, -4102.9, -373.7733, -4102.89
GladesTown.LupoSwimMiddleEX, Glades, SpiritLight, 100, hubUberStateGroup, 42178, mediumExpE, 9780, , -224.4, -4160.6, -224.35947, -4160.638
GladesTown.CaveBurrowEX, Glades, SpiritLight, 100, hubUberStateGroup, 42178, mediumExpF, 18448, , -307.5, -4166.8, -307.53635, -4166.828
GladesTown.BelowHoleHutEX, Glades, SpiritLight, 100, hubUberStateGroup, 42178, mediumExpG, 6117, , -232.1, -4106.8, -232.11626, -4106.6367
GladesTown.KeyMokiHutEX, Glades, SpiritLight, 100, hubUberStateGroup, 42178, hutEExpOrb, 51934, , -119.6, -4558.7, -386.66, -4156.72
GladesTown.AboveTpEX, Glades, SpiritLight, 50, hubUberStateGroup, 42178, smallExpH, 42762, , -307.1, -4118.7, -307.31543, -4118.597
GladesTown.AboveCaveEX, Glades, SpiritLight, 50, hubUberStateGroup, 42178, smallExpA, 30206, , -364.4, -4171.3, -364.37766, -4171.2876
GladesTown.LupoSwimLeftEX, Glades, SpiritLight, 50, hubUberStateGroup, 42178, smallExpB, 37028, , -277.1, -4171.8, -277.13055, -4171.818
GladesTown.UpdraftCeilingEX, Glades, SpiritLight, 50, hubUberStateGroup, 42178, smallExpC, 63404, , -239.6, -4129.9, -239.55182, -4129.9424
GladesTown.LeafPileEX, Glades, SpiritLight, 50, hubUberStateGroup, 42178, smallExpG, 44748, , -160.6, -4098.2, -160.66998, -4096.58
GladesTown.DamageTree, Glades, Ability, AncestralLight, trees, 0, AncestralLight, 120, , -368, -4158, -368.17413, -4153.7295
GladesTown.RebuildTheGlades, Glades, Quest, SL1000, questUberStateGroup, 14019, rebuildGladesQuest, 44578, 2, -322, -4153, -328.5, -4150.1
GladesTown.TwillenGemQuest, Glades, Quest, Shard, pickupsGroup, 23987, secretShardPickup, 14832, , -408, -4162, -406, -4158.9
GladesTown.RegrowTheGlades, Glades, Quest, SL1000, questUberStateGroup, 14019, regrowGladesQuest, 26394, 2, -173, -4139, -176, -4134.7
WestGlades.GrappleEX, Glades, SpiritLight, 100, wellspringGroupDescriptor, 53632, mediumExpA, 12019, , -515.3, -4102.5, -515.32, -4102.47
WestGlades.AbovePlantEX, Glades, SpiritLight, 100, kwolokGroupDescriptor, 937, mediumExpC, 31036, , -586.1, -4090.3, -586.0541, -4090.2927
WestGlades.LowerPoolEX, Glades, SpiritLight, 50, kwolokGroupDescriptor, 937, smallExpA, 40657, , -586.0, -4128.8, -586.03, -4128.8
WestGlades.UpperPoolEX, Glades, SpiritLight, 100, kwolokGroupDescriptor, 937, mediumExpB, 45744, , -631.8, -4087.5, -631.78, -4087.51
WestGlades.SwimEC, Glades, Resource, Energy, kwolokGroupDescriptor, 937, energyContainerA, 17761, , -690.3, -4114.5, -690.27, -4113.5
WestGlades.LeftOre, Glades, Resource, Ore, kwolokGroupDescriptor, 937, orePickup, 6703, , -690.1, -4097.4, -690.07654, -4097.43
WestGlades.RightOre, Glades, Resource, Ore, kwolokGroupDescriptor, 937, orePickupB, 11846, , -559.7, -4062.7, -559.67, -4062.74
WestGlades.ShrineHC, Glades, Resource, Life, wellspringGladesGroup, 44310, lifeVesselA, 36911, , -688.5, -4007.9, -688.5299, -4006.8901
WestGlades.CombatShrine, Glades, Resource, ShardSlot, wellspringGladesGroup, 44310, shardSlotUpgrade, 9902, , -635.4, -4016.2, -635.35, -4015.19
OuterWellspring.RightWallOre, Wellspring, Resource, Ore, wellspringGroupDescriptor, 53632, orePickupB, 25556, , -738.7, -4017.7, -738.6675, -4017.652
OuterWellspring.RightWallEC, Wellspring, Resource, Energy, wellspringGroupDescriptor, 53632, energyVesselA, 1911, , -735.3, -3988.3, -735.25366, -3987.25
OuterWellspring.RightWallEX, Wellspring, SpiritLight, 100, wellspringGroupDescriptor, 53632, mediumExpOrbPlaceholderE, 51706, , -745.1, -3942.0, -745.0513, -3941.9956
OuterWellspring.TrialOre, Wellspring, Resource, Ore, waterMillStateGroupDescriptor, 37858, gorlekOreA, 58286, , -677.7, -3933.2, -677.7317, -3933.1733
OuterWellspring.SpiritTrial, Wellspring, SpiritLight, 1000, raceGroup, 44964, wellspringRace, 11512, 2, -668, -3937, -834.55005, -3893.5503
OuterWellspring.UltraGrappleShard, Wellspring, Shard, UltraGrapple, pickupsGroup, 23987, ultraLeashShardPickup, 12104, , -798.7, -3912.2, -798.66003, -3911.1501
OuterWellspring.HiddenHC, Wellspring, Resource, Life, wellspringGroupDescriptor, 53632, lifeVesselA, 17403, , -877.8, -3961.0, -877.8399, -3959.99
OuterWellspring.EntranceRoofEX, Wellspring, SpiritLight, 100, wellspringGroupDescriptor, 53632, mediumExpOrbPlaceholderF, 42264, , -848.9, -4023.5, -848.91876, -4023.5227
OuterWellspring.WheelEX, Wellspring, SpiritLight, 100, wellspringGroupDescriptor, 53632, mediumExpOrbPlaceholderG, 6500, , -898.5, -4066.7, -898.4592, -4061.278
OuterWellspring.BasementEC, Wellspring, Resource, Energy, wellspringGroupDescriptor, 53632, energyVesselB, 6869, , -857.0, -4115.5, -857.0315, -4114.5103
OuterWellspring.LifeHarvestShard, Wellspring, Shard, LifeHarvest, pickupsGroup, 23987, vitalityLuckShardPickup, 53934, , -999.2, -4029.4, -999.22, -4028.35
OuterWellspring.SwimEX, Wellspring, SpiritLight, 100, wellspringGroupDescriptor, 53632, mediumExpOrbPlaceholderC, 62356, , -824.6, -4084.8, -824.5987, -4084.8445
OuterWellspring.SwimOre, Wellspring, Resource, Ore, wellspringGroupDescriptor, 53632, orePickupA, 21124, , -760.5, -4093.2, -760.547, -4093.22
OuterWellspring.TheLostCompass, Wellspring, Quest, Ore, questUberStateGroup, 14019, lostCompassQuest, 20667, 3, -811, -3973, -805, -3970.9
InnerWellspring.ThornShard, Wellspring, Shard, Thorn, pickupsGroup, 23987, counterstrikeShardPickup, 31426, , -1375.8, -3994.2, -1375.77, -3993.22
InnerWellspring.ThornEX, Wellspring, SpiritLight, 100, waterMillStateGroupDescriptor, 37858, mediumExpA, 22107, , -1371.9, -3938.5, -1371.89, -3938.49
InnerWellspring.ThreeWheelsEX, Wellspring, SpiritLight, 50, waterMillStateGroupDescriptor, 37858, smallExpA, 45906, , -1247.0, -3926.7, -1247.04, -3926.73
InnerWellspring.WaterSwitchEX, Wellspring, SpiritLight, 100, waterMillStateGroupDescriptor, 37858, xpOrbWater, 45656, , -1197.2, -3971.9, -1197.15, -3971.94
InnerWellspring.DrainHC, Wellspring, Resource, Life, waterMillStateGroupDescriptor, 37858, healthContainerA, 25833, , -1168.6, -3989.6, -1168.589, -3988.6418
InnerWellspring.DrainEX, Wellspring, SpiritLight, 100, waterMillStateGroupDescriptor, 37858, mediumExpA, 41380, , -1063.4, -3961.1, -1063.43, -3961.1272
InnerWellspring.LaserOre, Wellspring, Resource, Ore, waterMillStateGroupDescriptor, 37858, gorlekOreB, 58846, , -1077.3, -3936.4, -1077.2742, -3936.3518
InnerWellspring.LeverEC, Wellspring, Resource, Energy, waterMillStateGroupDescriptor, 37858, energyVessel, 57552, , -1109.4, -3864.0, -1109.36, -3862.95
InnerWellspring.LupoEX, Wellspring, SpiritLight, 100, waterMillStateGroupDescriptor, 37858, mediumExpB, 41911, , -1142.4, -3861.8, -1142.36, -3861.79
InnerWellspring.LupoMap, Wellspring, Shop, LupoZoneMap, npcsStateGroup, 48248, hasMapWellspring, 1590, , -1190, -3861, -1190, -3861
InnerWellspring.ShortcutWheelEX, Wellspring, SpiritLight, 200, waterMillStateGroupDescriptor, 37858, xpOrbA, 33063, , -1227.6, -3910.5, -1227.6171, -3910.532
InnerWellspring.GrappleTreeEX, Wellspring, SpiritLight, 100, waterMillStateGroupDescriptor, 37858, mediumExpA, 31136, , -1307.6, -3884.3, -1307.8835, -3883.543
InnerWellspring.GrappleTree, Wellspring, Ability, Grapple, trees, 0, Grapple, 57, , -1309, -3905, -1309.2, -3899.3662
InnerWellspring.AboveSpinArenaEX, Wellspring, SpiritLight, 200, waterMillStateGroupDescriptor, 37858, expOrb, 64086, , -1236.5, -3739.3, -1236.5, -3739.34
InnerWellspring.HandToHandHerbs, Wellspring, Quest, Herbs, questUberStateGroup, 14019, tradeSequenceQuest, 26318, 3, -1168, -3733, -1165.6, -3730.9
InnerWellspring.RotateRoomEX, Wellspring, SpiritLight, 100, waterMillStateGroupDescriptor, 37858, mediumExpB, 52110, , -1151.4, -3840.1, -1151.4448, -3840.1448
InnerWellspring.RotateRoomOre, Wellspring, Resource, Ore, waterMillStateGroupDescriptor, 37858, gorlekOreA, 47533, , -1178.0, -3755.0, -1178.03, -3755.02
InnerWellspring.NeedleQI, Wellspring, Quest, Needle, wellspringGroupDescriptor, 53632, questItemCompass, 41227, , -1185.5, -3696.3, -1185.467, -3696.261
InnerWellspring.LibraryEX, Wellspring, SpiritLight, 100, waterMillStateGroupDescriptor, 37858, mediumExpA, 59022, , -1252.2, -3681.8, -1252.1917, -3681.7656
InnerWellspring.AboveTpEX, Wellspring, SpiritLight, 50, waterMillStateGroupDescriptor, 37858, smallExpOrb, 2797, , -1316.6, -3663.6, -1316.5791, -3663.5505
InnerWellspring.BlueMoonSeed, Wellspring, Quest, Seed, questUberStateGroup, 14019, gardenerSeedGrappleCollected, 24142, , -1185.4, -3668.8, -1185.4348, -3668.7515
InnerWellspring.SwimOre, Wellspring, Resource, Ore, waterMillStateGroupDescriptor, 37858, gorlekOreA, 32932, , -1203.9, -3715.7, -1203.8998, -3715.6865
InnerWellspring.EscapeRevisitEX, Wellspring, SpiritLight, 100, waterMillStateGroupDescriptor, 37858, xpOrb, 56444, , -1313.1, -3640.1, -1313.1079, -3640.099
InnerWellspring.WaterEscape, Wellspring, Quest, Water, waterMillStateGroupDescriptor, 37858, finishedWatermillEscape, 12379, , -481, -3763, -1159, -3635
